"baris_sumber_excel","harga","luas_tanah","luas_bangunan","kamar_tidur","kamar_mandi","garasi","kota"
109,8000000000,323,317,5,4,"ada","Jakarta Selatan"
111,7600000000,278,350,4,4,"ada","Jakarta Selatan"
127,40000000000,1500,700,4,4,"ada","Jakarta Selatan"
169,15000000000,714,750,5,5,"ada","Jakarta Selatan"
193,8000000000,380,450,5,5,"ada","Jakarta Selatan"
194,18900000000,470,660,4,4,"tidak_ada","Jakarta Selatan"
195,21900000000,377,260,6,5,"ada","Jakarta Selatan"
196,5600000000,269,300,4,4,"ada","Jakarta Selatan"
199,3400000000,95,156,4,3,"ada","Jakarta Selatan"
206,4000000000,117,221,4,3,"ada","Jakarta Selatan"
219,11900000000,239,568,4,4,"ada","Jakarta Selatan"
225,13500000000,384,450,4,4,"ada","Jakarta Selatan"
230,22000000000,455,570,4,5,"ada","Jakarta Selatan"
241,55000000000,1500,1200,6,6,"ada","Jakarta Selatan"
286,19000000000,435,650,4,4,"ada","Jakarta Selatan"
287,7000000000,384,400,4,4,"ada","Jakarta Selatan"
301,14000000000,410,800,4,4,"ada","Jakarta Selatan"
312,17500000000,518,450,5,7,"ada","Jakarta Selatan"
320,5800000000,144,285,4,3,"ada","Jakarta Selatan"
321,20900000000,754,500,4,4,"ada","Jakarta Selatan"
390,17500000000,518,450,5,7,"ada","Jakarta Selatan"
402,6000000000,200,272,4,4,"ada","Jakarta Selatan"
437,10500000000,220,350,4,3,"ada","Jakarta Selatan"
447,22000000000,754,500,4,4,"ada","Jakarta Selatan"
457,17000000000,440,350,4,4,"ada","Jakarta Selatan"
466,9500000000,251,295,4,4,"ada","Jakarta Selatan"
467,23000000000,806,700,4,4,"ada","Jakarta Selatan"
483,8500000000,250,400,4,4,"ada","Jakarta Selatan"
522,16000000000,1095,450,3,4,"ada","Jakarta Selatan"
532,6000000000,144,250,4,3,"ada","Jakarta Selatan"
544,10500000000,500,700,4,4,"ada","Jakarta Selatan"
546,5680000000,151,245,3,3,"ada","Jakarta Selatan"
554,8500000000,307,400,7,6,"tidak_ada","Jakarta Selatan"
568,10000000000,475,600,5,5,"tidak_ada","Jakarta Selatan"
577,12500000000,512,350,3,3,"ada","Jakarta Selatan"
582,17500000000,518,450,5,7,"ada","Jakarta Selatan"
586,19000000000,800,500,5,4,"ada","Jakarta Selatan"
587,3600000000,164,150,4,4,"ada","Jakarta Selatan"
594,10000000000,395,450,5,5,"ada","Jakarta Selatan"
601,10500000000,500,700,4,4,"ada","Jakarta Selatan"
605,5500000000,150,210,4,4,"ada","Jakarta Selatan"
609,14000000000,460,400,4,3,"ada","Jakarta Selatan"
623,16000000000,587,350,4,3,"ada","Jakarta Selatan"
628,26000000000,600,450,4,4,"ada","Jakarta Selatan"
662,14500000000,240,450,4,4,"ada","Jakarta Selatan"
663,20000000000,1040,600,4,3,"ada","Jakarta Selatan"
671,17000000000,465,640,4,4,"ada","Jakarta Selatan"
685,17500000000,518,450,5,7,"ada","Jakarta Selatan"
704,22600000000,754,500,4,4,"ada","Jakarta Selatan"
705,33000000000,585,900,7,6,"ada","Jakarta Selatan"
708,17500000000,518,450,5,7,"ada","Jakarta Selatan"
711,5800000000,144,285,4,3,"ada","Jakarta Selatan"
719,16000000000,407,575,5,4,"ada","Jakarta Selatan"
720,40000000000,973,1100,4,4,"ada","Jakarta Selatan"
724,21000000000,1042,550,7,6,"ada","Jakarta Selatan"
742,22000000000,455,570,4,5,"ada","Jakarta Selatan"
746,39000000000,973,1100,4,4,"ada","Jakarta Selatan"
747,17500000000,518,450,5,7,"ada","Jakarta Selatan"
777,1350000000,72,150,3,3,"tidak_ada","Jakarta Selatan"
787,5500000000,234,115,2,2,"ada","Jakarta Selatan"
816,700000000,60,52,3,2,"ada","Jakarta Selatan"
820,1200000000,60,70,3,2,"ada","Jakarta Selatan"
824,15000000000,291,400,4,4,"ada","Jakarta Selatan"
825,7050000000,128,315,3,3,"ada","Jakarta Selatan"
839,68000000000,470,1000,5,5,"ada","Jakarta Selatan"
846,85000000000,770,500,4,4,"ada","Jakarta Selatan"
859,14900000000,291,400,4,4,"tidak_ada","Jakarta Selatan"
882,15000000000,291,400,4,4,"ada","Jakarta Selatan"
892,1200000000,60,70,3,2,"ada","Jakarta Selatan"
915,13000000000,616,600,5,4,"ada","Jakarta Selatan"
