"dataset","metrik","nilai"
"data_rumah","baris_sumber",1010
"data_rumah","duplikat_dihapus",2
"data_rumah","baris_bersih",1008
"data_rumah","baris_tidak_valid",0
"data_rumah","sel_kosong_data_bersih",0
"data_rumah","baris_dengan_outlier_iqr",314
"data_rumah","jumlah_flag_outlier_iqr_harga",94
"data_rumah","jumlah_flag_outlier_iqr_luas_tanah",86
"data_rumah","jumlah_flag_outlier_iqr_luas_bangunan",53
"data_rumah","jumlah_flag_outlier_iqr_kamar_tidur",153
"data_rumah","jumlah_flag_outlier_iqr_kamar_mandi",116
"data_rumah","jumlah_flag_outlier_iqr_jumlah_garasi",129
"harga_rumah_jaksel","baris_sumber",1001
"harga_rumah_jaksel","duplikat_dihapus",70
"harga_rumah_jaksel","baris_bersih",931
"harga_rumah_jaksel","baris_tidak_valid",0
"harga_rumah_jaksel","sel_kosong_data_bersih",0
"harga_rumah_jaksel","baris_dengan_outlier_iqr",183
"harga_rumah_jaksel","jumlah_flag_outlier_iqr_harga",60
"harga_rumah_jaksel","jumlah_flag_outlier_iqr_luas_tanah",44
"harga_rumah_jaksel","jumlah_flag_outlier_iqr_luas_bangunan",37
"harga_rumah_jaksel","jumlah_flag_outlier_iqr_kamar_tidur",78
"harga_rumah_jaksel","jumlah_flag_outlier_iqr_kamar_mandi",88
