"id_data","harga","luas_tanah","luas_bangunan","kamar_tidur","kamar_mandi","garasi","kota","harga_per_m2_tanah","harga_per_m2_bangunan","flag_data_tidak_valid","flag_outlier_iqr_harga","flag_outlier_iqr_luas_tanah","flag_outlier_iqr_luas_bangunan","flag_outlier_iqr_kamar_tidur","flag_outlier_iqr_kamar_mandi","flag_outlier_iqr"
"JKS0001",28000000000,1100,700,5,6,"ada","Jakarta Selatan",25454545.45,40000000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"JKS0002",19000000000,824,800,4,4,"ada","Jakarta Selatan",23058252.43,23750000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0003",4700000000,500,400,4,3,"ada","Jakarta Selatan",9400000,11750000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0004",4900000000,251,300,5,4,"ada","Jakarta Selatan",19521912.35,16333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0005",28000000000,1340,575,4,5,"ada","Jakarta Selatan",20895522.39,48695652.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0006",10000000000,460,300,4,4,"ada","Jakarta Selatan",21739130.43,33333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0007",7600000000,278,350,4,4,"ada","Jakarta Selatan",27338129.5,21714285.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0008",5250000000,511,300,3,2,"ada","Jakarta Selatan",10273972.6,17500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0009",670000000,70,69,3,2,"tidak_ada","Jakarta Selatan",9571428.57,9710144.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0010",480000000,66,42,2,1,"tidak_ada","Jakarta Selatan",7272727.27,11428571.43,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"JKS0011",10700000000,449,500,6,7,"ada","Jakarta Selatan",23830734.97,21400000,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"JKS0012",4200000000,109,188,2,3,"ada","Jakarta Selatan",38532110.09,22340425.53,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"JKS0013",8500000000,320,250,4,4,"ada","Jakarta Selatan",26562500,34000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0014",7000000000,384,400,4,4,"ada","Jakarta Selatan",18229166.67,17500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0015",20000000000,462,645,5,6,"ada","Jakarta Selatan",43290043.29,31007751.94,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"JKS0016",9500000000,212,300,4,4,"ada","Jakarta Selatan",44811320.75,31666666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0017",13400000000,342,450,5,4,"ada","Jakarta Selatan",39181286.55,29777777.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0018",11000000000,410,700,4,4,"ada","Jakarta Selatan",26829268.29,15714285.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0019",5800000000,144,285,4,3,"ada","Jakarta Selatan",40277777.78,20350877.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0020",35000000000,985,400,4,3,"ada","Jakarta Selatan",35532994.92,87500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0021",14000000000,780,500,3,4,"ada","Jakarta Selatan",17948717.95,28000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0022",5000000000,217,450,4,4,"ada","Jakarta Selatan",23041474.65,11111111.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0023",40000000000,1500,700,4,4,"ada","Jakarta Selatan",26666666.67,57142857.14,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"JKS0024",7250000000,210,300,4,3,"ada","Jakarta Selatan",34523809.52,24166666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0025",5200000000,110,200,3,3,"ada","Jakarta Selatan",47272727.27,26000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0026",25000000000,760,650,4,4,"ada","Jakarta Selatan",32894736.84,38461538.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0027",5680000000,151,245,3,3,"ada","Jakarta Selatan",37615894.04,23183673.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0028",10500000000,220,350,4,3,"ada","Jakarta Selatan",47727272.73,30000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0029",7050000000,128,315,3,3,"ada","Jakarta Selatan",55078125,22380952.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0030",9300000000,235,270,3,3,"tidak_ada","Jakarta Selatan",39574468.09,34444444.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0031",6500000000,100,250,4,3,"ada","Jakarta Selatan",65000000,26000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0032",68000000000,470,1000,5,5,"ada","Jakarta Selatan",144680851.06,68000000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"JKS0033",3000000000,75,150,4,2,"ada","Jakarta Selatan",40000000,20000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0034",85000000000,770,500,4,4,"ada","Jakarta Selatan",110389610.39,170000000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"JKS0035",19500000000,610,1000,6,5,"ada","Jakarta Selatan",31967213.11,19500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0036",20900000000,754,500,4,4,"ada","Jakarta Selatan",27718832.89,41800000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0037",15500000000,440,350,4,3,"ada","Jakarta Selatan",35227272.73,44285714.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0038",14000000000,410,800,4,4,"ada","Jakarta Selatan",34146341.46,17500000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0039",39000000000,973,1100,4,3,"ada","Jakarta Selatan",40082219.94,35454545.45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"JKS0040",8000000000,251,320,4,4,"ada","Jakarta Selatan",31872509.96,25000000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0041",20000000000,780,600,4,4,"ada","Jakarta Selatan",25641025.64,33333333.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0042",17500000000,954,600,4,3,"ada","Jakarta Selatan",18343815.51,29166666.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"JKS0043",34000000000,1186,900,6,5,"ada","Jakarta Selatan",28667790.89,37777777.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
