"dataset","metode","variabel_1","variabel_2","korelasi"
"harga_rumah_jaksel","pearson","harga","luas_tanah",0.743441112096775
"harga_rumah_jaksel","pearson","harga","luas_bangunan",0.651620882226509
"harga_rumah_jaksel","pearson","luas_tanah","luas_bangunan",0.68004026686934
"harga_rumah_jaksel","pearson","harga","kamar_tidur",0.216393932602864
"harga_rumah_jaksel","pearson","luas_tanah","kamar_tidur",0.210923291888294
"harga_rumah_jaksel","pearson","luas_bangunan","kamar_tidur",0.204239006591922
"harga_rumah_jaksel","pearson","harga","kamar_mandi",0.229934405993858
"harga_rumah_jaksel","pearson","luas_tanah","kamar_mandi",0.219232742577654
"harga_rumah_jaksel","pearson","luas_bangunan","kamar_mandi",0.227030568389106
"harga_rumah_jaksel","pearson","kamar_tidur","kamar_mandi",0.857191628209092
"data_rumah","pearson","harga","luas_tanah",0.809648647943954
"data_rumah","pearson","harga","luas_bangunan",0.746963681796928
"data_rumah","pearson","luas_tanah","luas_bangunan",0.740475180819848
"data_rumah","pearson","harga","kamar_tidur",0.322878557140116
"data_rumah","pearson","luas_tanah","kamar_tidur",0.425262589418089
"data_rumah","pearson","luas_bangunan","kamar_tidur",0.443257845426225
"data_rumah","pearson","harga","kamar_mandi",0.404795017657345
"data_rumah","pearson","luas_tanah","kamar_mandi",0.388304146373331
"data_rumah","pearson","luas_bangunan","kamar_mandi",0.530429709485612
"data_rumah","pearson","kamar_tidur","kamar_mandi",0.669219489599323
"data_rumah","pearson","harga","jumlah_garasi",0.484589935599926
"data_rumah","pearson","luas_tanah","jumlah_garasi",0.484302218577599
"data_rumah","pearson","luas_bangunan","jumlah_garasi",0.491974930108886
"data_rumah","pearson","kamar_tidur","jumlah_garasi",0.279830712942109
"data_rumah","pearson","kamar_mandi","jumlah_garasi",0.345096293148331
