"dataset","metode","variabel_1","variabel_2","korelasi"
"harga_rumah_jaksel","spearman","harga","luas_tanah",0.84009038509589
"harga_rumah_jaksel","spearman","harga","luas_bangunan",0.817174017960247
"harga_rumah_jaksel","spearman","luas_tanah","luas_bangunan",0.768041717569964
"harga_rumah_jaksel","spearman","harga","kamar_tidur",0.490353841494129
"harga_rumah_jaksel","spearman","luas_tanah","kamar_tidur",0.533260815950749
"harga_rumah_jaksel","spearman","luas_bangunan","kamar_tidur",0.547497266801168
"harga_rumah_jaksel","spearman","harga","kamar_mandi",0.508366950599115
"harga_rumah_jaksel","spearman","luas_tanah","kamar_mandi",0.470740020521357
"harga_rumah_jaksel","spearman","luas_bangunan","kamar_mandi",0.576470410725086
"harga_rumah_jaksel","spearman","kamar_tidur","kamar_mandi",0.685519952634378
"data_rumah","spearman","harga","luas_tanah",0.843674579279412
"data_rumah","spearman","harga","luas_bangunan",0.809204732667479
"data_rumah","spearman","luas_tanah","luas_bangunan",0.749076131439783
"data_rumah","spearman","harga","kamar_tidur",0.476787583152521
"data_rumah","spearman","luas_tanah","kamar_tidur",0.495715487719732
"data_rumah","spearman","luas_bangunan","kamar_tidur",0.545732107895999
"data_rumah","spearman","harga","kamar_mandi",0.54791406358338
"data_rumah","spearman","luas_tanah","kamar_mandi",0.409722266365868
"data_rumah","spearman","luas_bangunan","kamar_mandi",0.616697170421845
"data_rumah","spearman","kamar_tidur","kamar_mandi",0.626805395368803
"data_rumah","spearman","harga","jumlah_garasi",0.476328725314358
"data_rumah","spearman","luas_tanah","jumlah_garasi",0.372538685341756
"data_rumah","spearman","luas_bangunan","jumlah_garasi",0.455212786631027
"data_rumah","spearman","kamar_tidur","jumlah_garasi",0.259781383298451
"data_rumah","spearman","kamar_mandi","jumlah_garasi",0.357522323625044
