"dataset","variabel","n","missing","minimum","p05","q1","median","mean","q3","p95","maximum","sd"
"harga_rumah_jaksel","harga",931,0,430000000,2300000000,6750000000,13000000000,17547383458.6466,20000000000,45000000000,250000000000,21202533080.3602
"harga_rumah_jaksel","luas_tanah",931,0,22,100,217,400,535.464017185822,682.5,1340,6790,543.800947478062
"harga_rumah_jaksel","luas_bangunan",931,0,38,135,300,400,488.788399570354,600,1000,10000,465.069974287273
"harga_rumah_jaksel","kamar_tidur",931,0,1,3,4,4,4.47261009667025,5,7,27,2.06300010097652
"harga_rumah_jaksel","kamar_mandi",931,0,1,2,3,4,3.92158968850698,4,6,27,1.94363478561445
"harga_rumah_jaksel","harga_per_m2_tanah",931,0,3223529.41,14104278.075,22278409.005,30919446.7,34543157.786305,40322580.65,68096418.295,158823529.41,19039445.5597551
"harga_rumah_jaksel","harga_per_m2_bangunan",931,0,6111111.11,13397435.895,20816666.665,29166666.67,33620346.5183136,38673245.615,70416666.665,180000000,21361360.0108671
"data_rumah","harga",1008,0,430000000,2000000000,3250000000,5000000000,7636187390.08135,9000000000,23000000000,65000000000,7346448594.95759
"data_rumah","luas_tanah",1008,0,25,89,130,165,237.530753968254,292.5,619,1400,180.112998423819
"data_rumah","luas_bangunan",1008,0,40,100,150,217.5,276.751984126984,350,700,1126,177.971863246078
"data_rumah","kamar_tidur",1008,0,2,3,4,4,4.67063492063492,5,8,10,1.57331609314472
"data_rumah","kamar_mandi",1008,0,1,2,3,3,3.61011904761905,4,6,10,1.41904228921629
"data_rumah","jumlah_garasi",1008,0,0,0,1,2,1.92261904761905,2,4,10,1.51193999480109
"data_rumah","harga_per_m2_tanah",1008,0,3666666.67,15072579.176,23076923.08,29629629.63,31232718.7451984,37312834.2225,51538461.54,325000000,14830064.6563036
"data_rumah","harga_per_m2_bangunan",1008,0,2604166.67,12876246.945,17911184.2125,22222222.22,26502118.1481349,30000000,56961637.6525,216666666.67,15100361.029271
