"model","repeat_id","fold_id","n_test","mae","rmse","rmsle","r2","mape","prediksi_negatif_sebelum_batas"
"linear_raw",1,1,100,4677946334.52829,8689358286.37779,2.83113944611405,0.710236958810204,31.0697748237529,2
"linear_log",1,1,100,4586831135.0404,8257713773.10684,0.336065204808301,0.738309936630782,25.9802647974831,0
"spline_log",1,1,100,4535330573.31072,8336859770.2234,0.33562081940083,0.733269564139871,25.4776843961638,0
"random_forest_log",1,1,100,4544911532.54513,9274042202.27989,0.339724870126894,0.669930255275755,25.2605925360679,0
"linear_raw",1,2,100,8510001338.59031,20117032116.8499,2.1316773603916,0.374704024113248,45.9588765389612,1
"linear_log",1,2,100,8199892130.62657,18915212269.3783,0.477897960843161,0.447184445808063,41.7396728208684,0
"spline_log",1,2,100,8298610026.79106,19405838531.9594,0.483454770213881,0.418134453863493,41.3747673447002,0
"random_forest_log",1,2,100,7368065273.89473,17656246764.7361,0.461039687147941,0.518324457624801,39.6937661890859,0
"linear_raw",1,3,100,7764627195.00041,21704589596.0883,0.454388491483518,0.576785617901282,40.6474548577542,0
"linear_log",1,3,100,7311898749.83517,19850268976.2711,0.422799656690953,0.646010766622068,36.6001584677398,0
"spline_log",1,3,100,7705033375.97657,22424597127.8695,0.428403810268283,0.548241263527727,36.4422244256152,0
"random_forest_log",1,3,100,7986594156.10632,22426205215.6361,0.438135156055778,0.548176469164533,39.3540485431342,0
"linear_raw",1,4,91,5838562772.97127,13226233268.3327,3.00902162094229,0.712389367624943,37.6579145351959,2
"linear_log",1,4,91,5914678321.74851,14267848691.966,0.384029368406679,0.665304732853236,30.7232024061778,0
"spline_log",1,4,91,5332983849.76555,12998324207.3564,0.380463203873463,0.722215946426533,30.1031101242864,0
"random_forest_log",1,4,91,6740007600.23617,18074042636.3326,0.412581931377161,0.462914798998853,31.8280812421264,0
"linear_raw",1,5,90,5880133141.01175,10044356865.6822,2.20726603144009,0.43074231714401,50.6829030001308,1
"linear_log",1,5,90,5830892043.37737,10512756867.557,0.477022818897082,0.376411822532539,45.1808905100556,0
"spline_log",1,5,90,5613387974.88883,10090469573.5542,0.479620826300593,0.425503501106406,45.7698030230641,0
"random_forest_log",1,5,90,5212152646.02547,10933319911.8315,0.4602731738248,0.325520516528337,41.8023707270901,0
"linear_raw",1,6,90,6008497687.70074,14485152965.7785,2.11197249006963,0.483806953206082,37.2393180093417,1
"linear_log",1,6,90,5857361140.1318,15032353347.2883,0.399535693886148,0.444070231486484,31.634044753068,0
"spline_log",1,6,90,5812166643.86208,14957435444.8181,0.402509054583842,0.4495976836846,31.7777679622489,0
"random_forest_log",1,6,90,6446643390.87178,15195690636.676,0.416904608736538,0.431923445821854,35.2332544461928,0
"linear_raw",1,7,90,5188926926.16311,8746816806.49572,2.90365739210243,0.667392063170558,42.3136188590402,2
"linear_log",1,7,90,4660955360.87648,7662544790.3882,0.383837835463899,0.74474244846126,34.2440719325137,0
"spline_log",1,7,90,4443409693.21887,7278373588.81785,0.381530232449185,0.769696131019715,33.6256934051715,0
"random_forest_log",1,7,90,3929220250.93307,6851101260.21885,0.37780915380281,0.795942143746297,32.5284742919957,0
"linear_raw",1,8,90,8913640986.02468,22028281734.1445,3.73214022562085,0.159481874504806,44.9833109611611,3
"linear_log",1,8,90,11206770036.881,43508833226.334,0.443898838684111,-2.2789946845444,42.5190176001703,0
"spline_log",1,8,90,13417637348.6445,65451948269.9706,0.44958350748741,-6.42046285729833,42.6033921371722,0
"random_forest_log",1,8,90,6502321597.59369,13005022212.3436,0.44301125856983,0.707040196776425,39.2331051955834,0
"linear_raw",1,9,90,4737684094.27503,7966225472.99981,0.370873494653211,0.540202016963111,32.6469009363472,0
"linear_log",1,9,90,4614549615.41998,7557773811.40234,0.352292600017837,0.586143620993448,29.7687285808106,0
"spline_log",1,9,90,4541592665.94048,7200973775.48384,0.3495892773427,0.624297286489966,29.775443159965,0
"random_forest_log",1,9,90,4331438340.66689,6731913523.7249,0.338843926614811,0.67164855627471,30.0474982116569,0
"linear_raw",1,10,90,5737902201.24586,10489169807.1676,2.15269283613313,0.525291904265856,44.1655924821998,1
"linear_log",1,10,90,5368111439.27674,9039330668.1541,0.422703159397495,0.647453056987054,37.9713638172427,0
"spline_log",1,10,90,5402742352.15529,9707437461.9734,0.418457337187988,0.593412887580436,36.9202314813753,0
"random_forest_log",1,10,90,5136854826.6123,9318760370.72579,0.416816417922911,0.62531984245059,35.9126367904513,0
"linear_raw",2,1,100,5952135868.73096,12543539993.1221,3.40671290739233,0.445563639588832,39.2153393107447,3
"linear_log",2,1,100,5594430032.35437,11785989291.7315,0.414937897800795,0.510510307935303,34.5742866261365,0
"spline_log",2,1,100,5659608632.90176,12166865171.6662,0.408340175930995,0.478362437258626,33.5676520087965,0
"random_forest_log",2,1,100,5638605951.84351,12502330161.6899,0.432704860343835,0.449200682533691,35.4571903077488,0
"linear_raw",2,2,100,4657708648.53477,7930693805.83598,3.49582754318529,0.568356510161703,41.1444500648926,3
"linear_log",2,2,100,4563074926.60683,7836151615.90368,0.40527392302836,0.578586455133287,34.8809287692341,0
"spline_log",2,2,100,4481963250.27643,7723838215.26199,0.414166220502278,0.590579893724226,35.132490673733,0
"random_forest_log",2,2,100,4532269715.60719,8660474178.98203,0.411956955501187,0.485262069338424,35.4936600420656,0
"linear_raw",2,3,100,8061067917.60966,20177809746.9246,1.98503597072113,0.28416026777768,39.3294488102014,1
"linear_log",2,3,100,7626676420.9252,19308949885.3845,0.434812780837952,0.34448133061828,36.3364727687793,0
"spline_log",2,3,100,7491650449.04278,19522128690.9749,0.43468818006283,0.329927033632496,35.4730312108477,0
"random_forest_log",2,3,100,7599380799.02498,18687788771.0729,0.444554054342859,0.385978486904708,37.5222433210073,0
"linear_raw",2,4,91,5606686657.7215,8987556980.74317,0.500167813698546,0.657281422129609,41.8381113415254,0
"linear_log",2,4,91,5392594493.06181,8455069923.9898,0.422246024359937,0.696688595138987,36.9032351826068,0
"spline_log",2,4,91,5339205421.09029,8616803258.99514,0.418927217777921,0.684973790477639,36.2028514469682,0
"random_forest_log",2,4,91,6266755679.03647,11100054576.94,0.437130871744246,0.477237336935229,37.9647192455078,0
"linear_raw",2,5,90,7616691244.80195,19556369730.5819,0.453348038542685,0.443820291275187,39.2087270393732,0
"linear_log",2,5,90,7850349318.62457,19840467717.069,0.437535186546202,0.427543523107689,36.7253611116567,0
"spline_log",2,5,90,7710234156.24892,19942006419.5924,0.443337045964233,0.421669142787564,36.8306592666226,0
"random_forest_log",2,5,90,7162002471.59982,18125240319.2884,0.426718089743167,0.522243935516269,37.138747692309,0
"linear_raw",2,6,90,5041722193.19268,8998735484.35134,2.14898402060943,0.622038235995397,35.6046950816895,1
"linear_log",2,6,90,4607935776.7965,8457341354.25334,0.361378359009327,0.66614905108923,29.5897855241409,0
"spline_log",2,6,90,4547989368.71564,8389774463.1436,0.360994988899374,0.67146210708748,29.6736419476291,0
"random_forest_log",2,6,90,4312467565.86589,8014088891.67027,0.371071743268926,0.700226522625705,29.6852925128636,0
