"model","model_label","metrik","estimasi","ci_low_95","ci_high_95","bootstrap_repetitions"
"linear_raw","Linear mentah","mae",5453598449.64241,4272060670.42987,6779994147.94494,2000
"linear_raw","Linear mentah","rmse",10084371184.8998,7204720066.35504,12862528659.3394,2000
"linear_raw","Linear mentah","rmsle",2.09707045341865,0.419846989671411,3.27381572046549,2000
"linear_raw","Linear mentah","r2",0.548458632548244,0.385522408600523,0.695082330160451,2000
"linear_raw","Linear mentah","mape",39.3097962608812,33.0745109028275,46.5892373685575,2000
"linear_log","Log-linear","mae",4791536335.21876,3786571305.64069,5912526718.39633,2000
"linear_log","Log-linear","rmse",8665931386.47856,6085207353.52011,11583517544.7791,2000
"linear_log","Log-linear","rmsle",0.379639177524739,0.327422685429975,0.43158606658559,2000
"linear_log","Log-linear","r2",0.666550254279045,0.509376139258744,0.794678249656474,2000
"linear_log","Log-linear","mape",32.3055604452754,27.5590514176822,37.871718723954,2000
"spline_log","Spline log","mae",4903926777.19989,3853120340.80818,6114708794.60071,2000
"spline_log","Spline log","rmse",9017012506.72367,6294143519.16593,11865092086.3016,2000
"spline_log","Spline log","rmsle",0.380975687664239,0.328514075262145,0.434884116538308,2000
"spline_log","Spline log","r2",0.638985003829574,0.498146760756323,0.761998799067657,2000
"spline_log","Spline log","mape",32.3658914870088,27.4640932387882,38.2838674659944,2000
"random_forest_log","Random Forest log","mae",4726060132.48782,3705483167.71597,5926370285.33459,2000
"random_forest_log","Random Forest log","rmse",8919993834.87046,6137752648.35595,11696673891.5214,2000
"random_forest_log","Random Forest log","rmsle",0.381668574951767,0.326089653648844,0.437252954303278,2000
"random_forest_log","Random Forest log","r2",0.646711901930704,0.467050731102536,0.798362969473537,2000
"random_forest_log","Random Forest log","mape",32.343775291236,26.9557373549123,38.6133179695239,2000
