"model","model_label","desil_prediksi","jumlah","median_prediksi","median_aktual","mean_prediksi","mean_aktual"
"linear_raw","Linear mentah",1,19,3292974959.6286,2990000000,2948833712.36357,3157842105.26316
"linear_raw","Linear mentah",2,19,6039653034.71708,5800000000,6060023276.25924,5962105263.1579
"linear_raw","Linear mentah",3,18,8349608585.36225,7500000000,8298742582.61133,7140000000
"linear_raw","Linear mentah",4,19,10427130433.8202,10000000000,10651749822.8206,9753157894.73684
"linear_raw","Linear mentah",5,18,13654412622.4679,15000000000,13534835714.7584,15363888888.8889
"linear_raw","Linear mentah",6,19,15800297354.4897,14000000000,15834368093.5202,13336842105.2632
"linear_raw","Linear mentah",7,18,18660050531.8329,16750000000,18774459810.7097,18941666666.6667
"linear_raw","Linear mentah",8,19,22089320146.4234,21000000000,22021823225.9085,23684210526.3158
"linear_raw","Linear mentah",9,18,25887018520.034,20390000000,26620963809.0358,23906666666.6667
"linear_raw","Linear mentah",10,19,43333256372.3199,39500000000,43165623219.2532,42578947368.4211
"linear_log","Log-linear",1,19,3678147860.53709,3600000000,3238706308.70677,3149947368.42105
"linear_log","Log-linear",2,19,5496919570.07577,5500000000,5511923994.56744,5557894736.8421
"linear_log","Log-linear",3,18,7802155530.57284,7500000000,7845590905.63966,7305555555.55556
"linear_log","Log-linear",4,19,10233749834.9721,10500000000,10248984785.0866,10679473684.2105
"linear_log","Log-linear",5,18,12731211096.6451,9250000000,12697172621.4066,10075000000
"linear_log","Log-linear",6,19,14922947310.458,15500000000,15275396372.7266,18210526315.7895
"linear_log","Log-linear",7,18,18873116698.5375,16750000000,18801710602.7726,18766666666.6667
"linear_log","Log-linear",8,19,21194169099.5308,20000000000,21358468548.9049,23046842105.2632
"linear_log","Log-linear",9,18,25555288716.3852,19490000000,25712759428.8502,22023888888.8889
"linear_log","Log-linear",10,19,42157691593.0634,40000000000,44767572094.481,44631578947.3684
"spline_log","Spline log",1,19,3448947057.7691,3600000000,3119508950.17472,3113105263.15789
"spline_log","Spline log",2,19,5323688535.07458,5500000000,5567842577.34293,5594736842.10526
"spline_log","Spline log",3,18,8116751810.40406,7500000000,8061483418.64676,7641666666.66667
"spline_log","Spline log",4,19,10408784557.9979,10200000000,10526186145.9686,10168947368.4211
"spline_log","Spline log",5,18,13032713346.045,10000000000,13198549190.9795,12222222222.2222
"spline_log","Spline log",6,19,15629955835.2843,15000000000,15791719149.4328,16368421052.6316
"spline_log","Spline log",7,18,19118399050.2574,18000000000,19037370105.3264,19155555555.5556
"spline_log","Spline log",8,19,21226668279.1562,19800000000,21369482384.8567,22678421052.6316
"spline_log","Spline log",9,18,25093052887.1486,19490000000,25285275805.2923,22023888888.8889
"spline_log","Spline log",10,19,39775069544.5834,40000000000,41719836488.4732,44631578947.3684
"random_forest_log","Random Forest log",1,19,3446454869.16425,2990000000,3203641831.74719,2949947368.42105
"random_forest_log","Random Forest log",2,19,5877008811.46397,5900000000,5911045773.52498,5833157894.73684
"random_forest_log","Random Forest log",3,18,8228470947.22053,7600000000,8020460717.10869,7740000000
"random_forest_log","Random Forest log",4,19,10558336491.8615,9550000000,10660235531.4932,9631578947.36842
"random_forest_log","Random Forest log",5,18,13392435082.6961,11630000000,13524350149.3903,12706111111.1111
"random_forest_log","Random Forest log",6,19,15527364407.5565,16500000000,15745544714.9722,17410526315.7895
"random_forest_log","Random Forest log",7,18,18651791903.9935,15000000000,18592833812.3343,16071111111.1111
"random_forest_log","Random Forest log",8,19,22029913558.6014,19800000000,21538246238.962,23567894736.8421
"random_forest_log","Random Forest log",9,18,24096285054.6744,21800000000,24348799145.9017,23030555555.5556
"random_forest_log","Random Forest log",10,19,37618789335.103,40000000000,46386358212.7222,44578947368.4211
