"model","model_label","tipe_segmen","segmen","jumlah","mae","rmse","rmsle","r2","mape","bias"
"linear_raw","Linear mentah","kuartil_harga","Q1_harga_rendah",47,2585559948.9564,3874079202.28076,4.12007314775722,-4.91267490239491,65.3341819498152,1968090535.87964
"linear_raw","Linear mentah","kuartil_harga","Q2",48,3299791707.13668,5063464303.23558,0.372746734196388,-6.45995448524295,35.1613743872354,2477263507.77322
"linear_raw","Linear mentah","kuartil_harga","Q3",49,4599298195.49562,5929708190.27273,0.295541195345065,-7.28761059955811,28.2051009174186,2616233788.35973
"linear_raw","Linear mentah","kuartil_harga","Q4_harga_tinggi",42,12121247155.0165,19058943105.2127,0.467997103848216,-0.120800076282766,27.8838008890899,-6282031405.44353
"linear_raw","Linear mentah","garasi","tidak_ada",39,2535149693.39205,3539064925.77531,4.49595388136144,0.823186221735023,33.8193546296947,-266968648.251444
"linear_raw","Linear mentah","garasi","ada",147,6227880772.72924,11196060594.4952,0.449054817480402,0.514687121130593,40.7664440405837,586196037.022198
"linear_raw","Linear mentah","status_outlier","non_outlier_iqr",154,3639343263.12997,5253698033.15764,1.63847959465474,0.542416129185885,38.3138382989538,1507191685.14279
"linear_raw","Linear mentah","status_outlier","outlier_iqr",32,14184701534.7335,21407196528.42,3.55555140618374,0.226252723915574,44.1028439526565,-4885889979.73538
"linear_log","Log-linear","kuartil_harga","Q1_harga_rendah",47,1936203942.41653,3268125618.41999,0.459172823936773,-3.20769733542622,47.2115807247217,1538610699.08463
"linear_log","Log-linear","kuartil_harga","Q2",48,2707232201.0929,4039357234.4941,0.309561950782595,-3.74750246544161,27.9856950670018,1941685418.97695
"linear_log","Log-linear","kuartil_harga","Q3",49,4593545173.93454,6024068823.00389,0.307474938402762,-7.55347408164684,28.5595151904974,2468902976.14134
"linear_log","Log-linear","kuartil_harga","Q4_harga_tinggi",42,10599840806.711,16113391001.997,0.427219118808642,0.19886737899653,24.9323890764012,-6075491779.94663
"linear_log","Log-linear","garasi","tidak_ada",39,2201452459.82433,3779663633.44664,0.318464905983917,0.798328119213373,26.7324544934122,-36357696.3599165
"linear_log","Log-linear","garasi","ada",147,5478701445.01728,9551559972.95791,0.394279178632672,0.646784340209996,33.7841395753616,222715266.660372
"linear_log","Log-linear","status_outlier","non_outlier_iqr",154,3337039537.01129,5073573155.41586,0.357286168873534,0.573255092753521,32.1007859056038,1222598280.32533
"linear_log","Log-linear","status_outlier","outlier_iqr",32,11791302176.5922,17681346068.263,0.472651885464028,0.472150408452636,33.2910379174451,-4904966910.28321
"spline_log","Spline log","kuartil_harga","Q1_harga_rendah",47,2024666344.86705,3458215510.2775,0.45937269210507,-3.71141238066251,46.858289499305,1612225802.62624
"spline_log","Spline log","kuartil_harga","Q2",48,2838274118.92861,4142010474.92425,0.319054827165778,-3.99186760349506,29.49108141765,2211736618.68342
"spline_log","Spline log","kuartil_harga","Q3",49,4405944462.92513,5708219747.18321,0.295596946104855,-6.68005024341276,27.4769937967237,2578130236.61791
"spline_log","Spline log","kuartil_harga","Q4_harga_tinggi",42,11067681570.441,17001975966.9617,0.433993066324366,0.108072980188797,25.1374191911818,-7412147629.08036
"spline_log","Spline log","garasi","tidak_ada",39,2156596394.83388,3725938220.73354,0.303845696287292,0.80402063610131,24.7682129806701,128271963.263593
"spline_log","Spline log","garasi","ada",147,5632810348.03169,9959642951.91931,0.398943623751753,0.615957865460606,34.3816021111394,-54737788.9397297
"spline_log","Spline log","status_outlier","non_outlier_iqr",154,3322496144.86592,4974954288.76564,0.356979847839139,0.589683782327546,32.2345955976785,1333363420.23036
"spline_log","Spline log","status_outlier","outlier_iqr",32,12514561695.3071,18801168097.5504,0.479959961299814,0.403171978113093,32.9977529544109,-6511931722.57297
"random_forest_log","Random Forest log","kuartil_harga","Q1_harga_rendah",47,2156565220.30896,3687302242.55739,0.474925459778839,-4.3562949675064,49.2271044498146,1875442869.36321
"random_forest_log","Random Forest log","kuartil_harga","Q2",48,3036509968.90011,4887453121.97689,0.3362209618321,-5.95033731437255,31.1420932517522,2474183070.26564
"random_forest_log","Random Forest log","kuartil_harga","Q3",49,3893193276.88058,5118760821.90089,0.269517160994134,-5.17578784656299,24.3073747247236,2104969137.15247
"random_forest_log","Random Forest log","kuartil_harga","Q4_harga_tinggi",42,10504039766.9967,16711729010.9846,0.422809970079232,0.138265869884352,24.1996775579298,-5503969698.64398
"random_forest_log","Random Forest log","garasi","tidak_ada",39,2598981102.7718,3993129148.02822,0.339903559416596,0.77490504691812,29.9227459255614,445242359.606643
"random_forest_log","Random Forest log","garasi","ada",147,5290387222.00432,9820661201.98973,0.392002922792136,0.626601306945034,32.9860892045783,418495990.378138
"random_forest_log","Random Forest log","status_outlier","non_outlier_iqr",154,3385980572.88463,5190039632.5738,0.367736303170255,0.553437920159706,32.9405313991432,1297311655.30925
"random_forest_log","Random Forest log","status_outlier","outlier_iqr",32,11175193013.0782,18244097666.2007,0.442626018446529,0.438015525437582,29.4718865219329,-3778207259.60559
